NATIONAL_TEAMS
Argentina
Austrália
Áustria
Bélgica
Bolívia
Brasil
Bulgária
Camarões
Canadá
Chile
China
Colômbia
Costa do Marfim
República Tcheca
Dinamarca
Equador
Egito
Inglaterra
Finlândia
França
Alemanha
Grécia
Hungria
Islândia
Índia
Irlanda
Itália
México
Países Baixos (Holanda)
Nova Zelândia
Irlanda do Norte
Noruega
Paraguai
Peru
Polônia
Portugal
Romênia
Rússia
Escócia
Eslovênia
África do Sul
Espanha
Suécia
Suíça
Turquia
Estados Unidos
Uruguai
Venezuela
P. de Gales
